fare_id,route_id
one-way,H2O
one-way,Sealine
one-way,Sandwich
one-way,Bourne
one-way,FLEX
one-way,Villager
one-way,Ptown
one-way,WHOOSH
one-way,Hyannis
one-way-discounted,H2O
one-way-discounted,Sealine
one-way-discounted,Sandwich
one-way-discounted,Bourne
one-way-discounted,FLEX
one-way-discounted,Villager
one-way-discounted,Ptown
one-way-discounted,WHOOSH
one-way-discounted,Hyannis
FLEXoffroute,FLEX
FLEXoffroute-discounted,FLEX
daypass,H2O
daypass,Sealine
daypass,Sandwich
daypass,Bourne
daypass,FLEX
daypass,Villager
daypass,Ptown
daypass,WHOOSH
daypass,Hyannis
daypass-discounted,H2O
daypass-discounted,Sealine
daypass-discounted,Sandwich
daypass-discounted,Bourne
daypass-discounted,FLEX
daypass-discounted,Villager
daypass-discounted,Ptown
daypass-discounted,WHOOSH
daypass-discounted,Hyannis
transitpass,H2O
transitpass,Sealine
transitpass,Sandwich
transitpass,Bourne
transitpass,FLEX
transitpass,Villager
transitpass,Ptown
transitpass,WHOOSH
transitpass,Hyannis
transitpass-discounted,H2O
transitpass-discounted,Sealine
transitpass-discounted,Sandwich
transitpass-discounted,Bourne
transitpass-discounted,FLEX
transitpass-discounted,Villager
transitpass-discounted,Ptown
transitpass-discounted,WHOOSH
transitpass-discounted,Hyannis
WHOOSH-transfer,WHOOSH
